GbGDiv results table from 'allMtub-MYCOBACT' records table.																
"Created at 16:55, on Tue 3 May, 2016"																
Software version: 0.9																
Isolate records read from table: 7670																
																
Locus	Category	Missing	Paralogous	CountNuc	CountAA	MinLength	MaxLength	AvgLength	NonVarNuc	NonVarAA	AllelicDiv	ADivNM	VSitesNuc	VSitesAA	RatioCount	RatioVS
BACT000001	rMLST	21	0	103	72	1443	1446	1445.916667	1227	124	0.071235087	0.009228532	0.151403377	0.742723762	0.699029126	4.905595737
BACT000002	rMLST	218	0	39	30	861	867	863.9	817	134	0.045144114	-0.016862442	0.054288691	0.534668364	0.769230769	9.848614072
BACT000003	rMLST	742	1	46	30	654	825	819.1	321	41	0.056159199	-0.005847357	0.608106458	0.849835185	0.652173913	1.39751054
BACT000004	rMLST	40	1	34	18	603	606	605.8333333	280	88	0.056121045	-0.00588551	0.537826685	0.564236589	0.529411765	1.049104859
BACT000005	rMLST	125	1	38	26	501	675	657.1153846	260	35	0.057828505	-0.004178051	0.604331285	0.840210711	0.684210526	1.39031477
BACT000006	rMLST	7	1	20	15	291	297	291.4	129	15	0.06863418	0.006627624	0.55730954	0.845573095	0.75	1.517241379
BACT000007	rMLST	16	1	22	10	471	471	471	250	88	0.04670913	-0.015297426	0.469214437	0.439490446	0.454545455	0.936651584
BACT000008	rMLST	30	1	29	10	399	399	399	209	72	0.072681704	0.010675148	0.476190476	0.458646617	0.344827586	0.963157895
BACT000009	rMLST	33	1	33	22	393	456	452.5909091	186	56	0.072913528	0.010906972	0.589032841	0.628803857	0.666666667	1.067519182
BACT000010	rMLST	3	1	15	9	306	309	306.3333333	178	68	0.048966268	-0.013040288	0.418933624	0.33405876	0.6	0.797402597
BACT000011	rMLST	62	1	28	16	390	420	417.75	217	19	0.067025733	0.005019177	0.480550569	0.863554758	0.571428571	1.797011208
BACT000012	rMLST	4	0	24	14	375	375	375	354	114	0.064	0.001993444	0.056	0.088	0.583333333	1.571428571
BACT000013	rMLST	18	1	30	17	366	375	374.2941176	186	19	0.080150872	0.018144316	0.503064592	0.847713343	0.566666667	1.685098407
BACT000014	rMLST	3	7057	3	3	186	306	226	72	24	0.013274336	-0.04873222	0.681415929	0.681415929	1	1
BACT000015	rMLST	10	0	9	8	267	270	269.625	262	17	0.033379694	-0.028626862	0.028280019	0.810848401	0.888888889	28.67213115
BACT000016	rMLST	56	1	37	28	276	489	481.3928571	131	30	0.076860301	0.014853745	0.727872988	0.813042511	0.756756757	1.117011518
BACT000017	rMLST	25	1	23	17	264	369	362.8235294	123	40	0.063391699	0.001385143	0.660992218	0.6692607	0.739130435	1.012509198
BACT000018	rMLST	1	5990	5	4	243	267	258	82	28	0.019379845	-0.042626711	0.682170543	0.674418605	0.8	0.988636364
BACT000019	rMLST	3	1	15	9	279	282	281.6666667	174	66	0.053254438	-0.008752118	0.382248521	0.29704142	0.6	0.777089783
BACT000020	rMLST	7	1	17	13	252	261	260.3076923	99	14	0.065307329	0.003300773	0.619680851	0.838652482	0.764705882	1.353361946
BACT000021	rMLST	7668	0	2	2	174	177	175.5	113	41	0.011396011	-0.050610544	0.356125356	0.299145299	1	0.84
BACT000030	rMLST	79	2136	37	25	696	708	707.52	349	114	0.052295341	-0.009711214	0.506727725	0.516621438	0.675675676	1.019524713
BACT000031	rMLST	5	1	34	16	834	843	842.4375	444	169	0.040359077	-0.021647479	0.472957935	0.398174939	0.470588235	0.841882353
BACT000032	rMLST	16	1	30	17	648	675	655.9411765	220	50	0.045735808	-0.016270747	0.664604071	0.771320958	0.566666667	1.160572123
BACT000033	rMLST	203	0	37	25	672	672	672	637	200	0.055059524	-0.006947032	0.052083333	0.107142857	0.675675676	2.057142857
BACT000034	rMLST	13	1	31	17	540	564	561.8823529	274	67	0.055171692	-0.006834864	0.512353434	0.642273869	0.548387097	1.253575807
BACT000035	rMLST	7	1	31	17	537	540	539.8235294	267	86	0.057426174	-0.004580382	0.50539392	0.522066035	0.548387097	1.032988357
BACT000036	rMLST	485	1	26	19	363	393	389.0526316	160	6	0.066829004	0.004822449	0.588744589	0.953733766	0.730769231	1.619944853
BACT000038	rMLST	35	1	22	15	447	459	457.8	202	20	0.04805592	-0.013950636	0.558759284	0.868938401	0.681818182	1.555121188
BACT000039	rMLST	27	1	30	20	501	537	535.05	231	41	0.056069526	-0.00593703	0.568264648	0.770114943	0.666666667	1.355204736
BACT000040	rMLST	913	1	24	14	423	432	428.5714286	243	21	0.056	-0.006006556	0.433	0.853	0.583333333	1.969976905
BACT000042	rMLST	11	1	33	18	438	444	443.3333333	183	57	0.07443609	0.012429534	0.587218045	0.614285714	0.545454545	1.04609475
BACT000043	rMLST	6	1	26	10	369	369	369	207	87	0.070460705	0.008454149	0.43902439	0.292682927	0.384615385	0.666666667
BACT000044	rMLST	43	1	25	19	402	441	438.9473684	98	40	0.056954436	-0.005052119	0.776738609	0.726618705	0.76	0.935473912
BACT000045	rMLST	31	1	23	17	417	435	418.0588235	216	73	0.055016181	-0.006990375	0.483326298	0.476150274	0.739130435	0.985152838
BACT000046	rMLST	8	1	40	26	372	546	536.5384615	165	32	0.074551971	0.012545416	0.692473118	0.821075269	0.65	1.185714286
BACT000047	rMLST	99	1	20	12	357	429	372.5	139	42	0.053691275	-0.008315281	0.626845638	0.661744966	0.6	1.055674518
BACT000048	rMLST	2	1	23	14	342	351	342.6428571	185	50	0.067125287	0.005118731	0.460079216	0.562226391	0.608695652	1.222020843
BACT000049	rMLST	9	1	22	12	357	390	387.25	174	56	0.056810846	-0.00519571	0.550677857	0.566171724	0.545454545	1.028135991
BACT000050	rMLST	43	1	19	12	309	312	311.75	130	23	0.060946271	-0.001060285	0.582999198	0.778668805	0.631578947	1.33562586
BACT000051	rMLST	228	1	35	25	339	609	568.2	90	28	0.061598029	-0.000408527	0.841605069	0.852164731	0.714285714	1.012547051
BACT000052	rMLST	3	1	19	10	276	303	300.3	131	42	0.063270063	0.001263507	0.563769564	0.58041958	0.526315789	1.029533373
BACT000053	rMLST	7	1	19	11	318	318	318	157	52	0.059748428	-0.002258128	0.506289308	0.509433962	0.578947368	1.00621118
